"Date","AAPL","AMZN","FB","GOOG","IBM","MSFT","NFLX","NVDA","TSLA","TWTR"
"2020-10-13",120.891434,3443.629883,276.140015,1571.680054,123.311913,222.278061,554.090027,569.761658,446.649994,47
"2020-10-14",120.981277,3363.709961,271.820007,1568.079956,124.139908,220.283279,541.450012,563.643494,461.299988,45.98
"2020-10-15",120.502106,3338.649902,266.720001,1559.130005,123.104912,219.086426,541.940002,558.634949,448.880005,46.029999
"2020-10-16",118.81501,3272.709961,265.929993,1573.01001,124.130051,219.086426,530.789978,552.296875,439.670013,45.810001
"2020-10-19",115.780251,3207.209961,261.399994,1534.609985,123.725906,213.660629,530.719971,539.750488,430.829987,45.82
"2020-10-20",117.307617,3217.01001,267.559998,1555.930054,115.692406,214.089493,525.419983,545.658813,421.940002,46.349998
"2020-10-21",116.668724,3184.939941,278.730011,1593.310059,113.415413,214.23912,489.049988,540.8302,422.640015,50.240002
"2020-10-22",115.550644,3176.399902,278.119995,1615.329956,114.105415,214.328873,485.230011,534.282166,425.790009,50.279999
"2020-10-23",114.841873,3204.399902,284.790009,1641,114.34198,215.665375,488.279999,543.449463,420.630005,50.439999
"2020-10-26",114.851852,3207.040039,277.109985,1590.449951,110.616013,209.531433,488.23999,525.494751,420.279999,49
"2020-10-27",116.399178,3286.330078,283.290009,1604.26001,108.979736,212.693161,488.929993,535.711731,424.679993,51.27
"2020-10-28",111.008476,3162.780029,267.670013,1516.619995,105.125626,202.150757,486.23999,504.930817,406.019989,48.529999
"2020-10-29",115.121384,3211.01001,280.829987,1567.23999,107.353325,204.185425,504.209991,520.806152,410.829987,52.43
"2020-10-30",108.672516,3036.149902,263.109985,1621.01001,110.064018,201.941315,475.73999,501.211914,388.040009,41.360001
"2020-11-02",108.582664,3004.47998,261.359985,1626.030029,111.29615,201.801666,484.119995,503.08139,400.51001,39.470001
"2020-11-03",110.249794,3048.409912,265.299988,1650.209961,112.528282,205.890961,487.220001,520.626221,423.899994,41.73
"2020-11-04",114.752022,3241.159912,287.380005,1749.130005,110.300583,215.824951,496.950012,551.607056,420.980011,42.759998
"2020-11-05",118.824997,3322,294.679993,1763.369995,113.129562,222.70694,513.76001,566.232727,438.089996,43.709999
"2020-11-06",118.690002,3311.370117,293.410004,1761.75,112.409996,223.135818,514.72998,582.307922,429.950012,43.119999
"2020-11-09",116.32,3143.73999,278.769989,1763,115.529999,217.819733,470.5,545.06897,421.26001,43.189999
"2020-11-10",115.970001,3035.02002,272.429993,1740.390015,117.910004,210.459,480.23999,510.649139,410.359985,42.41
"2020-11-11",119.489998,3137.389893,276.480011,1752.709961,117.199997,215.984543,490.76001,536.561462,417.130005,43.630001
"2020-11-12",119.209999,3110.280029,275.079987,1749.839966,114.5,214.877441,486.769989,538.111023,411.76001,42.810001
"2020-11-13",119.260002,3128.810059,276.950012,1777.02002,116.849998,215.944641,482.839996,531.7229,408.5,43.48
"2020-11-16",120.300003,3131.060059,278.959991,1781.380005,118.360001,216.662766,479.100006,540.450317,408.089996,42.73
"2020-11-17",119.389999,3135.659912,275,1770.150024,117.699997,213.900009,480.630005,536.731445,441.609985,42.849998
"2020-11-18",118.029999,3105.459961,271.970001,1746.780029,116.769997,211.080002,481.790009,536.991394,486.640015,43.330002
"2020-11-19",118.639999,3117.02002,272.940002,1763.920044,117.18,212.419998,484.670013,537.451233,499.269989,43.619999
"2020-11-20",117.339996,3099.399902,269.700012,1742.189941,116.940002,210.389999,488.23999,523.355408,489.609985,44.68
"2020-11-23",113.849998,3098.389893,268.429993,1734.859985,120.089996,210.110001,476.619995,525.444763,521.849976,44.939999
"2020-11-24",115.169998,3118.060059,276.920013,1768.880005,124.419998,213.860001,482.880005,518.156921,555.380005,45.23
"2020-11-25",116.029999,3185.070068,275.589996,1771.430054,124.199997,213.869995,485,529.233643,574,46.43
